16 4
1 0 0
1 0 0.5
1 0 1
1 0 1.5

0.913545 0.406737 0
0.913545 0.406737 0.5
0.913545 0.406737 1
0.913545 0.406737 1.5

0.669131 0.743145 0
0.669131 0.743145 0.5
0.669131 0.743145 1
0.669131 0.743145 1.5

0.309017 0.951057 0
0.309017 0.951057 0.5
0.309017 0.951057 1
0.309017 0.951057 1.5

-0.104529 0.994522 0
-0.104529 0.994522 0.5
-0.104529 0.994522 1
-0.104529 0.994522 1.5

-0.5 0.866025 0
-0.5 0.866025 0.5
-0.5 0.866025 1
-0.5 0.866025 1.5

-0.809017 0.587785 0
-0.809017 0.587785 0.5
-0.809017 0.587785 1
-0.809017 0.587785 1.5

-0.978148 0.207912 0
-0.978148 0.207912 0.5
-0.978148 0.207912 1
-0.978148 0.207912 1.5

-0.978148 -0.207912 0
-0.978148 -0.207912 0.5
-0.978148 -0.207912 1
-0.978148 -0.207912 1.5

-0.809017 -0.587785 0
-0.809017 -0.587785 0.5
-0.809017 -0.587785 1
-0.809017 -0.587785 1.5

-0.5 -0.866025 0
-0.5 -0.866025 0.5
-0.5 -0.866025 1
-0.5 -0.866025 1.5

-0.104528 -0.994522 0
-0.104528 -0.994522 0.5
-0.104528 -0.994522 1
-0.104528 -0.994522 1.5

0.309017 -0.951056 0
0.309017 -0.951056 0.5
0.309017 -0.951056 1
0.309017 -0.951056 1.5

0.669131 -0.743145 0
0.669131 -0.743145 0.5
0.669131 -0.743145 1
0.669131 -0.743145 1.5

0.913546 -0.406736 0
0.913546 -0.406736 0.5
0.913546 -0.406736 1
0.913546 -0.406736 1.5

1 1.74846e-07 0
1 1.74846e-07 0.5
1 1.74846e-07 1
1 1.74846e-07 1.5

