34 34
0.0505842 6.19477e-18 -0.497435
-3.06162e-17 -3.7494e-33 -0.5
-0.0505842 -6.19477e-18 -0.497435
-0.100649 -1.2326e-17 -0.489765
-0.149682 -1.83307e-17 -0.47707
-0.197178 -2.41473e-17 -0.459479
-0.242651 -2.97162e-17 -0.437173
-0.285634 -3.49801e-17 -0.410382
-0.325686 -3.98851e-17 -0.379379
-0.362396 -4.43808e-17 -0.344483
-0.395388 -4.8421e-17 -0.306053
-0.424322 -5.19645e-17 -0.264482
-0.448902 -5.49747e-17 -0.220197
-0.468876 -5.74208e-17 -0.173653
-0.484039 -5.92776e-17 -0.125326
-0.494234 -6.05262e-17 -0.0757139
-0.499358 -6.11537e-17 -0.0253246
-0.499358 -6.11537e-17 0.0253246
-0.494234 -6.05262e-17 0.0757139
-0.484039 -5.92776e-17 0.125326
-0.468876 -5.74208e-17 0.173653
-0.448902 -5.49747e-17 0.220197
-0.424322 -5.19645e-17 0.264482
-0.395388 -4.8421e-17 0.306053
-0.362396 -4.43808e-17 0.344484
-0.325686 -3.98851e-17 0.379379
-0.285634 -3.49801e-17 0.410382
-0.242651 -2.97162e-17 0.437173
-0.197178 -2.41473e-17 0.459479
-0.149682 -1.83307e-17 0.47707
-0.100649 -1.2326e-17 0.489765
-0.0505841 -6.19477e-18 0.497435
5.48873e-08 6.72175e-24 0.5
0.0505842 6.19478e-18 0.497435

0.0495487 0.0101825 -0.497435
-2.99895e-17 -6.16299e-18 -0.5
-0.0495487 -0.0101825 -0.497435
-0.098589 -0.0202606 -0.489765
-0.146618 -0.0301307 -0.47707
-0.193142 -0.0396916 -0.459479
-0.237684 -0.0488453 -0.437173
-0.279787 -0.0574977 -0.410382
-0.319019 -0.0655602 -0.379379
-0.354978 -0.0729499 -0.344483
-0.387294 -0.079591 -0.306053
-0.415636 -0.0854154 -0.264482
-0.439713 -0.0903634 -0.220197
-0.459278 -0.0943841 -0.173653
-0.47413 -0.0974362 -0.125326
-0.484117 -0.0994886 -0.0757139
-0.489136 -0.10052 -0.0253246
-0.489136 -0.10052 0.0253246
-0.484117 -0.0994886 0.0757139
-0.47413 -0.0974362 0.125326
-0.459278 -0.0943841 0.173653
-0.439713 -0.0903634 0.220197
-0.415636 -0.0854154 0.264482
-0.387294 -0.079591 0.306053
-0.354978 -0.0729498 0.344484
-0.319019 -0.0655601 0.379379
-0.279787 -0.0574977 0.410382
-0.237684 -0.0488453 0.437173
-0.193142 -0.0396916 0.459479
-0.146618 -0.0301307 0.47707
-0.0985889 -0.0202605 0.489765
-0.0495487 -0.0101825 0.497435
5.37637e-08 1.10487e-08 0.5
0.0495488 0.0101825 0.497435

0.0464847 0.0199482 -0.497435
-2.8135e-17 -1.20737e-17 -0.5
-0.0464847 -0.0199482 -0.497435
-0.0924924 -0.0396916 -0.489765
-0.137551 -0.0590278 -0.47707
-0.181198 -0.0777583 -0.459479
-0.222986 -0.0956908 -0.437173
-0.262486 -0.112641 -0.410382
-0.299292 -0.128436 -0.379379
-0.333027 -0.142913 -0.344483
-0.363345 -0.155924 -0.306053
-0.389934 -0.167334 -0.264482
-0.412522 -0.177027 -0.220197
-0.430877 -0.184904 -0.173653
-0.444811 -0.190883 -0.125326
-0.45418 -0.194904 -0.0757139
-0.458889 -0.196925 -0.0253246
-0.458889 -0.196925 0.0253246
-0.45418 -0.194904 0.0757139
-0.444811 -0.190883 0.125326
-0.430877 -0.184904 0.173653
-0.412522 -0.177027 0.220197
-0.389934 -0.167334 0.264482
-0.363345 -0.155924 0.306053
-0.333027 -0.142913 0.344484
-0.299292 -0.128436 0.379379
-0.262486 -0.112641 0.410382
-0.222986 -0.0956908 0.437173
-0.181198 -0.0777583 0.459479
-0.137551 -0.0590278 0.47707
-0.0924924 -0.0396916 0.489765
-0.0464847 -0.0199481 0.497435
5.04391e-08 2.16451e-08 0.5
0.0464848 0.0199482 0.497435

0.0415176 0.0288971 -0.497435
-2.51286e-17 -1.749e-17 -0.5
-0.0415176 -0.0288971 -0.497435
-0.0826092 -0.0574977 -0.489765
-0.122853 -0.0855083 -0.47707
-0.161836 -0.112641 -0.459479
-0.199159 -0.138619 -0.437173
-0.234438 -0.163174 -0.410382
-0.267311 -0.186054 -0.379379
-0.297442 -0.207026 -0.344483
-0.32452 -0.225873 -0.306053
-0.348268 -0.242402 -0.264482
-0.368443 -0.256444 -0.220197
-0.384836 -0.267854 -0.173653
-0.397281 -0.276516 -0.125326
-0.405649 -0.28234 -0.0757139
-0.409855 -0.285268 -0.0253246
-0.409855 -0.285268 0.0253246
-0.405649 -0.28234 0.0757139
-0.397281 -0.276516 0.125326
-0.384836 -0.267854 0.173653
-0.368443 -0.256444 0.220197
